,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_max_leaf_nodes,param_min_samples_split,params,split0_test_neg_mean_absolute_error,split1_test_neg_mean_absolute_error,split2_test_neg_mean_absolute_error,split3_test_neg_mean_absolute_error,split4_test_neg_mean_absolute_error,mean_test_neg_mean_absolute_error,std_test_neg_mean_absolute_error,rank_test_neg_mean_absolute_error,split0_test_neg_mean_squared_error,split1_test_neg_mean_squared_error,split2_test_neg_mean_squared_error,split3_test_neg_mean_squared_error,split4_test_neg_mean_squared_error,mean_test_neg_mean_squared_error,std_test_neg_mean_squared_error,rank_test_neg_mean_squared_error,split0_test_neg_root_mean_squared_error,split1_test_neg_root_mean_squared_error,split2_test_neg_root_mean_squared_error,split3_test_neg_root_mean_squared_error,split4_test_neg_root_mean_squared_error,mean_test_neg_root_mean_squared_error,std_test_neg_root_mean_squared_error,rank_test_neg_root_mean_squared_error,split0_test_r2,split1_test_r2,split2_test_r2,split3_test_r2,split4_test_r2,mean_test_r2,std_test_r2,rank_test_r2
39,0.023777198791503907,0.0007490504135169337,0.0028016090393066405,0.0003943205852809421,50,50,1000,"{'max_depth': 50, 'max_leaf_nodes': 50, 'min_samples_split': 1000}",-0.8885491411017054,-1.9204087169493664,-2.1750820750870665,-1.8591692236061812,-3.6000272845067784,-2.0886472882502196,0.8732628959569312,1,-1.1446172428955903,-7.333153854236476,-5.61926292737244,-8.197825423730123,-18.150977620400457,-8.089167413727017,5.588391413408665,1,-1.0698678623529123,-2.7079796628181083,-2.3704984554672124,-2.8631844899918906,-4.26039641587499,-2.654385377301023,1.021472311175161,1,-2.4630174162262475,-0.5974864887714286,-3.7154242253847016,-0.18894641736413975,-2.3987371632328505,-1.8727223421958734,1.3024605900820858,21
75,0.023786163330078124,0.0007443199484112423,0.0025986194610595702,0.0004894733219917839,400,100,1000,"{'max_depth': 400, 'max_leaf_nodes': 100, 'min_samples_split': 1000}",-0.8885491411017054,-1.9204087169493664,-2.1750820750870665,-1.8591692236061812,-3.6000272845067784,-2.0886472882502196,0.8732628959569312,1,-1.1446172428955903,-7.333153854236476,-5.61926292737244,-8.197825423730123,-18.150977620400457,-8.089167413727017,5.588391413408665,1,-1.0698678623529123,-2.7079796628181083,-2.3704984554672124,-2.8631844899918906,-4.26039641587499,-2.654385377301023,1.021472311175161,1,-2.4630174162262475,-0.5974864887714286,-3.7154242253847016,-0.18894641736413975,-2.3987371632328505,-1.8727223421958734,1.3024605900820858,21
71,0.028823375701904297,0.001633927892107631,0.0036184310913085936,0.0010280007028906934,400,50,1000,"{'max_depth': 400, 'max_leaf_nodes': 50, 'min_samples_split': 1000}",-0.8885491411017054,-1.9204087169493664,-2.1750820750870665,-1.8591692236061812,-3.6000272845067784,-2.0886472882502196,0.8732628959569312,1,-1.1446172428955903,-7.333153854236476,-5.61926292737244,-8.197825423730123,-18.150977620400457,-8.089167413727017,5.588391413408665,1,-1.0698678623529123,-2.7079796628181083,-2.3704984554672124,-2.8631844899918906,-4.26039641587499,-2.654385377301023,1.021472311175161,1,-2.4630174162262475,-0.5974864887714286,-3.7154242253847016,-0.18894641736413975,-2.3987371632328505,-1.8727223421958734,1.3024605900820858,21
63,0.024386167526245117,0.0010135451135585105,0.0021985054016113283,0.00039968661264916703,100,400,1000,"{'max_depth': 100, 'max_leaf_nodes': 400, 'min_samples_split': 1000}",-0.8885491411017054,-1.9204087169493664,-2.1750820750870665,-1.8591692236061812,-3.6000272845067784,-2.0886472882502196,0.8732628959569312,1,-1.1446172428955903,-7.333153854236476,-5.61926292737244,-8.197825423730123,-18.150977620400457,-8.089167413727017,5.588391413408665,1,-1.0698678623529123,-2.7079796628181083,-2.3704984554672124,-2.8631844899918906,-4.26039641587499,-2.654385377301023,1.021472311175161,1,-2.4630174162262475,-0.5974864887714286,-3.7154242253847016,-0.18894641736413975,-2.3987371632328505,-1.8727223421958734,1.3024605900820858,21
59,0.023589038848876955,0.0007973612530880569,0.002998208999633789,4.422005889652111e-07,100,100,1000,"{'max_depth': 100, 'max_leaf_nodes': 100, 'min_samples_split': 1000}",-0.8885491411017054,-1.9204087169493664,-2.1750820750870665,-1.8591692236061812,-3.6000272845067784,-2.0886472882502196,0.8732628959569312,1,-1.1446172428955903,-7.333153854236476,-5.61926292737244,-8.197825423730123,-18.150977620400457,-8.089167413727017,5.588391413408665,1,-1.0698678623529123,-2.7079796628181083,-2.3704984554672124,-2.8631844899918906,-4.26039641587499,-2.654385377301023,1.021472311175161,1,-2.4630174162262475,-0.5974864887714286,-3.7154242253847016,-0.18894641736413975,-2.3987371632328505,-1.8727223421958734,1.3024605900820858,21
55,0.023983144760131837,0.000631980757552985,0.0025987148284912108,0.0004895511891391698,100,50,1000,"{'max_depth': 100, 'max_leaf_nodes': 50, 'min_samples_split': 1000}",-0.8885491411017054,-1.9204087169493664,-2.1750820750870665,-1.8591692236061812,-3.6000272845067784,-2.0886472882502196,0.8732628959569312,1,-1.1446172428955903,-7.333153854236476,-5.61926292737244,-8.197825423730123,-18.150977620400457,-8.089167413727017,5.588391413408665,1,-1.0698678623529123,-2.7079796628181083,-2.3704984554672124,-2.8631844899918906,-4.26039641587499,-2.654385377301023,1.021472311175161,1,-2.4630174162262475,-0.5974864887714286,-3.7154242253847016,-0.18894641736413975,-2.3987371632328505,-1.8727223421958734,1.3024605900820858,21
47,0.023583316802978517,0.0008014125756087014,0.0027985572814941406,0.00039958962392692293,50,400,1000,"{'max_depth': 50, 'max_leaf_nodes': 400, 'min_samples_split': 1000}",-0.8885491411017054,-1.9204087169493664,-2.1750820750870665,-1.8591692236061812,-3.6000272845067784,-2.0886472882502196,0.8732628959569312,1,-1.1446172428955903,-7.333153854236476,-5.61926292737244,-8.197825423730123,-18.150977620400457,-8.089167413727017,5.588391413408665,1,-1.0698678623529123,-2.7079796628181083,-2.3704984554672124,-2.8631844899918906,-4.26039641587499,-2.654385377301023,1.021472311175161,1,-2.4630174162262475,-0.5974864887714286,-3.7154242253847016,-0.18894641736413975,-2.3987371632328505,-1.8727223421958734,1.3024605900820858,21
43,0.02478203773498535,0.0011713561190487437,0.0030008792877197266,0.0006299826038226864,50,100,1000,"{'max_depth': 50, 'max_leaf_nodes': 100, 'min_samples_split': 1000}",-0.8885491411017054,-1.9204087169493664,-2.1750820750870665,-1.8591692236061812,-3.6000272845067784,-2.0886472882502196,0.8732628959569312,1,-1.1446172428955903,-7.333153854236476,-5.61926292737244,-8.197825423730123,-18.150977620400457,-8.089167413727017,5.588391413408665,1,-1.0698678623529123,-2.7079796628181083,-2.3704984554672124,-2.8631844899918906,-4.26039641587499,-2.654385377301023,1.021472311175161,1,-2.4630174162262475,-0.5974864887714286,-3.7154242253847016,-0.18894641736413975,-2.3987371632328505,-1.8727223421958734,1.3024605900820858,21
31,0.030571603775024415,0.0016270733879925954,0.003601264953613281,0.0004922979701631346,20,400,1000,"{'max_depth': 20, 'max_leaf_nodes': 400, 'min_samples_split': 1000}",-0.8885491411017054,-1.9204087169493664,-2.1750820750870665,-1.8591692236061812,-3.6000272845067784,-2.0886472882502196,0.8732628959569312,1,-1.1446172428955903,-7.333153854236476,-5.61926292737244,-8.197825423730123,-18.150977620400457,-8.089167413727017,5.588391413408665,1,-1.0698678623529123,-2.7079796628181083,-2.3704984554672124,-2.8631844899918906,-4.26039641587499,-2.654385377301023,1.021472311175161,1,-2.4630174162262475,-0.5974864887714286,-3.7154242253847016,-0.18894641736413975,-2.3987371632328505,-1.8727223421958734,1.3024605900820858,21
27,0.030779314041137696,0.0009787440659344924,0.004006528854370117,0.0008960669854530286,20,100,1000,"{'max_depth': 20, 'max_leaf_nodes': 100, 'min_samples_split': 1000}",-0.8885491411017054,-1.9204087169493664,-2.1750820750870665,-1.8591692236061812,-3.6000272845067784,-2.0886472882502196,0.8732628959569312,1,-1.1446172428955903,-7.333153854236476,-5.61926292737244,-8.197825423730123,-18.150977620400457,-8.089167413727017,5.588391413408665,1,-1.0698678623529123,-2.7079796628181083,-2.3704984554672124,-2.8631844899918906,-4.26039641587499,-2.654385377301023,1.021472311175161,1,-2.4630174162262475,-0.5974864887714286,-3.7154242253847016,-0.18894641736413975,-2.3987371632328505,-1.8727223421958734,1.3024605900820858,21
23,0.025025224685668944,0.0008912504966017813,0.0025975704193115234,0.0004901500280397568,20,50,1000,"{'max_depth': 20, 'max_leaf_nodes': 50, 'min_samples_split': 1000}",-0.8885491411017054,-1.9204087169493664,-2.1750820750870665,-1.8591692236061812,-3.6000272845067784,-2.0886472882502196,0.8732628959569312,1,-1.1446172428955903,-7.333153854236476,-5.61926292737244,-8.197825423730123,-18.150977620400457,-8.089167413727017,5.588391413408665,1,-1.0698678623529123,-2.7079796628181083,-2.3704984554672124,-2.8631844899918906,-4.26039641587499,-2.654385377301023,1.021472311175161,1,-2.4630174162262475,-0.5974864887714286,-3.7154242253847016,-0.18894641736413975,-2.3987371632328505,-1.8727223421958734,1.3024605900820858,21
