,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_max_leaf_nodes,param_min_samples_split,params,split0_test_neg_mean_absolute_error,split1_test_neg_mean_absolute_error,split2_test_neg_mean_absolute_error,split3_test_neg_mean_absolute_error,split4_test_neg_mean_absolute_error,mean_test_neg_mean_absolute_error,std_test_neg_mean_absolute_error,rank_test_neg_mean_absolute_error,split0_test_neg_mean_squared_error,split1_test_neg_mean_squared_error,split2_test_neg_mean_squared_error,split3_test_neg_mean_squared_error,split4_test_neg_mean_squared_error,mean_test_neg_mean_squared_error,std_test_neg_mean_squared_error,rank_test_neg_mean_squared_error,split0_test_neg_root_mean_squared_error,split1_test_neg_root_mean_squared_error,split2_test_neg_root_mean_squared_error,split3_test_neg_root_mean_squared_error,split4_test_neg_root_mean_squared_error,mean_test_neg_root_mean_squared_error,std_test_neg_root_mean_squared_error,rank_test_neg_root_mean_squared_error,split0_test_r2,split1_test_r2,split2_test_r2,split3_test_r2,split4_test_r2,mean_test_r2,std_test_r2,rank_test_r2
544,0.049205208,0.006995696,0.000400114,0.000800228,50,70,300,"{'max_depth': 50, 'max_leaf_nodes': 70, 'min_samples_split': 300}",-22.98814229,-10.59570864,-71.27509881,-12.15358554,-71.47611519,-37.6977301,27.82737447,1,-736.3272727,-162.6216827,-8691.128967,-282.5456804,-7303.257708,-3435.176262,3755.517856,1,-27.13535098,-12.75232068,-93.22622467,-16.80909517,-85.45909962,-47.07641822,34.91399589,1,0.020393997,-0.257081067,0.361441913,0.574947565,0.17402867,0.174746215,0.284716114,1
588,0.04999876,0.006248238,0,0,50,1000,200,"{'max_depth': 50, 'max_leaf_nodes': 1000, 'min_samples_split': 200}",-22.98814229,-10.59570864,-71.27509881,-12.15358554,-71.47611519,-37.6977301,27.82737447,1,-736.3272727,-162.6216827,-8691.128967,-282.5456804,-7303.257708,-3435.176262,3755.517856,1,-27.13535098,-12.75232068,-93.22622467,-16.80909517,-85.45909962,-47.07641822,34.91399589,1,0.020393997,-0.257081067,0.361441913,0.574947565,0.17402867,0.174746215,0.284716114,1
589,0.051778984,0.009925905,0.000399733,0.000799465,50,1000,300,"{'max_depth': 50, 'max_leaf_nodes': 1000, 'min_samples_split': 300}",-22.98814229,-10.59570864,-71.27509881,-12.15358554,-71.47611519,-37.6977301,27.82737447,1,-736.3272727,-162.6216827,-8691.128967,-282.5456804,-7303.257708,-3435.176262,3755.517856,1,-27.13535098,-12.75232068,-93.22622467,-16.80909517,-85.45909962,-47.07641822,34.91399589,1,0.020393997,-0.257081067,0.361441913,0.574947565,0.17402867,0.174746215,0.284716114,1
590,0.047581005,0.009367291,0.006649876,0.007364612,50,1000,400,"{'max_depth': 50, 'max_leaf_nodes': 1000, 'min_samples_split': 400}",-22.98814229,-10.59570864,-71.27509881,-12.15358554,-71.47611519,-37.6977301,27.82737447,1,-736.3272727,-162.6216827,-8691.128967,-282.5456804,-7303.257708,-3435.176262,3755.517856,1,-27.13535098,-12.75232068,-93.22622467,-16.80909517,-85.45909962,-47.07641822,34.91399589,1,0.020393997,-0.257081067,0.361441913,0.574947565,0.17402867,0.174746215,0.284716114,1
591,0.048524761,0.008102178,0.003527498,0.006104726,50,1000,1000,"{'max_depth': 50, 'max_leaf_nodes': 1000, 'min_samples_split': 1000}",-22.98814229,-10.59570864,-71.27509881,-12.15358554,-71.47611519,-37.6977301,27.82737447,1,-736.3272727,-162.6216827,-8691.128967,-282.5456804,-7303.257708,-3435.176262,3755.517856,1,-27.13535098,-12.75232068,-93.22622467,-16.80909517,-85.45909962,-47.07641822,34.91399589,1,0.020393997,-0.257081067,0.361441913,0.574947565,0.17402867,0.174746215,0.284716114,1
592,0.046870661,5.72E-07,0.003122425,0.00624485,50,1000,2000,"{'max_depth': 50, 'max_leaf_nodes': 1000, 'min_samples_split': 2000}",-22.98814229,-10.59570864,-71.27509881,-12.15358554,-71.47611519,-37.6977301,27.82737447,1,-736.3272727,-162.6216827,-8691.128967,-282.5456804,-7303.257708,-3435.176262,3755.517856,1,-27.13535098,-12.75232068,-93.22622467,-16.80909517,-85.45909962,-47.07641822,34.91399589,1,0.020393997,-0.257081067,0.361441913,0.574947565,0.17402867,0.174746215,0.284716114,1
965,0.053576231,0.00824205,0,0,400,300,100,"{'max_depth': 400, 'max_leaf_nodes': 300, 'min_samples_split': 100}",-22.98814229,-10.59570864,-71.27509881,-12.15358554,-71.47611519,-37.6977301,27.82737447,1,-736.3272727,-162.6216827,-8691.128967,-282.5456804,-7303.257708,-3435.176262,3755.517856,1,-27.13535098,-12.75232068,-93.22622467,-16.80909517,-85.45909962,-47.07641822,34.91399589,1,0.020393997,-0.257081067,0.361441913,0.574947565,0.17402867,0.174746215,0.284716114,1
964,0.04687376,5.28E-06,0.003122282,0.006244564,400,300,50,"{'max_depth': 400, 'max_leaf_nodes': 300, 'min_samples_split': 50}",-22.98814229,-10.59570864,-71.27509881,-12.15358554,-71.47611519,-37.6977301,27.82737447,1,-736.3272727,-162.6216827,-8691.128967,-282.5456804,-7303.257708,-3435.176262,3755.517856,1,-27.13535098,-12.75232068,-93.22622467,-16.80909517,-85.45909962,-47.07641822,34.91399589,1,0.020393997,-0.257081067,0.361441913,0.574947565,0.17402867,0.174746215,0.284716114,1
963,0.049840403,0.008450297,0.000399733,0.000799465,400,300,10,"{'max_depth': 400, 'max_leaf_nodes': 300, 'min_samples_split': 10}",-22.98814229,-10.59570864,-71.27509881,-12.15358554,-71.47611519,-37.6977301,27.82737447,1,-736.3272727,-162.6216827,-8691.128967,-282.5456804,-7303.257708,-3435.176262,3755.517856,1,-27.13535098,-12.75232068,-93.22622467,-16.80909517,-85.45909962,-47.07641822,34.91399589,1,0.020393997,-0.257081067,0.361441913,0.574947565,0.17402867,0.174746215,0.284716114,1
961,0.050047588,0.007140788,0.000399733,0.000799465,400,200,2000,"{'max_depth': 400, 'max_leaf_nodes': 200, 'min_samples_split': 2000}",-22.98814229,-10.59570864,-71.27509881,-12.15358554,-71.47611519,-37.6977301,27.82737447,1,-736.3272727,-162.6216827,-8691.128967,-282.5456804,-7303.257708,-3435.176262,3755.517856,1,-27.13535098,-12.75232068,-93.22622467,-16.80909517,-85.45909962,-47.07641822,34.91399589,1,0.020393997,-0.257081067,0.361441913,0.574947565,0.17402867,0.174746215,0.284716114,1
