,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_max_leaf_nodes,param_min_samples_split,params,split0_test_neg_mean_absolute_error,split1_test_neg_mean_absolute_error,split2_test_neg_mean_absolute_error,split3_test_neg_mean_absolute_error,split4_test_neg_mean_absolute_error,mean_test_neg_mean_absolute_error,std_test_neg_mean_absolute_error,rank_test_neg_mean_absolute_error,split0_test_neg_mean_squared_error,split1_test_neg_mean_squared_error,split2_test_neg_mean_squared_error,split3_test_neg_mean_squared_error,split4_test_neg_mean_squared_error,mean_test_neg_mean_squared_error,std_test_neg_mean_squared_error,rank_test_neg_mean_squared_error,split0_test_neg_root_mean_squared_error,split1_test_neg_root_mean_squared_error,split2_test_neg_root_mean_squared_error,split3_test_neg_root_mean_squared_error,split4_test_neg_root_mean_squared_error,mean_test_neg_root_mean_squared_error,std_test_neg_root_mean_squared_error,rank_test_neg_root_mean_squared_error,split0_test_r2,split1_test_r2,split2_test_r2,split3_test_r2,split4_test_r2,mean_test_r2,std_test_r2,rank_test_r2
212,0.056235361,0.007647476,0,0,15,30,400,"{'max_depth': 15, 'max_leaf_nodes': 30, 'min_samples_split': 400}",-2.894946358,-0.446730661,-5.235129305,-0.423784303,-0.913678148,-1.982853755,1.862402608,91,-9.954470096,-0.52670175,-40.56159319,-0.359747092,-1.757378814,-10.63197819,15.37943256,1,-3.155070537,-0.725742207,-6.36879841,-0.599789206,-1.325661651,-2.435012402,2.168569295,1,-14.39513778,0.627676467,-6.727881266,-0.965172372,-0.558448426,-4.403792675,5.606332641,1
806,0.056449795,0.007837299,0,0,300,30,400,"{'max_depth': 300, 'max_leaf_nodes': 30, 'min_samples_split': 400}",-2.894946358,-0.446730661,-5.235129305,-0.423784303,-0.913678148,-1.982853755,1.862402608,91,-9.954470096,-0.52670175,-40.56159319,-0.359747092,-1.757378814,-10.63197819,15.37943256,1,-3.155070537,-0.725742207,-6.36879841,-0.599789206,-1.325661651,-2.435012402,2.168569295,1,-14.39513778,0.627676467,-6.727881266,-0.965172372,-0.558448426,-4.403792675,5.606332641,1
707,0.058983517,0.009292583,0.000399733,0.000799465,200,30,400,"{'max_depth': 200, 'max_leaf_nodes': 30, 'min_samples_split': 400}",-2.894946358,-0.446730661,-5.235129305,-0.423784303,-0.913678148,-1.982853755,1.862402608,91,-9.954470096,-0.52670175,-40.56159319,-0.359747092,-1.757378814,-10.63197819,15.37943256,1,-3.155070537,-0.725742207,-6.36879841,-0.599789206,-1.325661651,-2.435012402,2.168569295,1,-14.39513778,0.627676467,-6.727881266,-0.965172372,-0.558448426,-4.403792675,5.606332641,1
1004,0.052970171,0.010815574,0.000399733,0.000799465,1000,30,400,"{'max_depth': 1000, 'max_leaf_nodes': 30, 'min_samples_split': 400}",-2.894946358,-0.446730661,-5.235129305,-0.423784303,-0.913678148,-1.982853755,1.862402608,91,-9.954470096,-0.52670175,-40.56159319,-0.359747092,-1.757378814,-10.63197819,15.37943256,1,-3.155070537,-0.725742207,-6.36879841,-0.599789206,-1.325661651,-2.435012402,2.168569295,1,-14.39513778,0.627676467,-6.727881266,-0.965172372,-0.558448426,-4.403792675,5.606332641,1
905,0.056979322,0.00708225,0,0,400,30,400,"{'max_depth': 400, 'max_leaf_nodes': 30, 'min_samples_split': 400}",-2.894946358,-0.446730661,-5.235129305,-0.423784303,-0.913678148,-1.982853755,1.862402608,91,-9.954470096,-0.52670175,-40.56159319,-0.359747092,-1.757378814,-10.63197819,15.37943256,1,-3.155070537,-0.725742207,-6.36879841,-0.599789206,-1.325661651,-2.435012402,2.168569295,1,-14.39513778,0.627676467,-6.727881266,-0.965172372,-0.558448426,-4.403792675,5.606332641,1
311,0.054472256,0.007003506,0,0,20,30,400,"{'max_depth': 20, 'max_leaf_nodes': 30, 'min_samples_split': 400}",-2.894946358,-0.446730661,-5.235129305,-0.423784303,-0.913678148,-1.982853755,1.862402608,91,-9.954470096,-0.52670175,-40.56159319,-0.359747092,-1.757378814,-10.63197819,15.37943256,1,-3.155070537,-0.725742207,-6.36879841,-0.599789206,-1.325661651,-2.435012402,2.168569295,1,-14.39513778,0.627676467,-6.727881266,-0.965172372,-0.558448426,-4.403792675,5.606332641,1
608,0.05293498,0.008292208,0.003124428,0.006248856,100,30,400,"{'max_depth': 100, 'max_leaf_nodes': 30, 'min_samples_split': 400}",-2.894946358,-0.446730661,-5.235129305,-0.423784303,-0.913678148,-1.982853755,1.862402608,91,-9.954470096,-0.52670175,-40.56159319,-0.359747092,-1.757378814,-10.63197819,15.37943256,1,-3.155070537,-0.725742207,-6.36879841,-0.599789206,-1.325661651,-2.435012402,2.168569295,1,-14.39513778,0.627676467,-6.727881266,-0.965172372,-0.558448426,-4.403792675,5.606332641,1
410,0.054080057,0.00707993,0,0,30,30,400,"{'max_depth': 30, 'max_leaf_nodes': 30, 'min_samples_split': 400}",-2.894946358,-0.446730661,-5.235129305,-0.423784303,-0.913678148,-1.982853755,1.862402608,91,-9.954470096,-0.52670175,-40.56159319,-0.359747092,-1.757378814,-10.63197819,15.37943256,1,-3.155070537,-0.725742207,-6.36879841,-0.599789206,-1.325661651,-2.435012402,2.168569295,1,-14.39513778,0.627676467,-6.727881266,-0.965172372,-0.558448426,-4.403792675,5.606332641,1
113,0.053108406,0.007655455,0.00312705,0.006254101,10,30,400,"{'max_depth': 10, 'max_leaf_nodes': 30, 'min_samples_split': 400}",-2.894946358,-0.446730661,-5.235129305,-0.423784303,-0.913678148,-1.982853755,1.862402608,91,-9.954470096,-0.52670175,-40.56159319,-0.359747092,-1.757378814,-10.63197819,15.37943256,1,-3.155070537,-0.725742207,-6.36879841,-0.599789206,-1.325661651,-2.435012402,2.168569295,1,-14.39513778,0.627676467,-6.727881266,-0.965172372,-0.558448426,-4.403792675,5.606332641,1
509,0.057570982,0.009076722,0.00039959,0.000799179,50,30,400,"{'max_depth': 50, 'max_leaf_nodes': 30, 'min_samples_split': 400}",-2.894946358,-0.446730661,-5.235129305,-0.423784303,-0.913678148,-1.982853755,1.862402608,91,-9.954470096,-0.52670175,-40.56159319,-0.359747092,-1.757378814,-10.63197819,15.37943256,1,-3.155070537,-0.725742207,-6.36879841,-0.599789206,-1.325661651,-2.435012402,2.168569295,1,-14.39513778,0.627676467,-6.727881266,-0.965172372,-0.558448426,-4.403792675,5.606332641,1
