,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_n_estimators,params,split0_test_neg_mean_absolute_error,split1_test_neg_mean_absolute_error,split2_test_neg_mean_absolute_error,split3_test_neg_mean_absolute_error,split4_test_neg_mean_absolute_error,mean_test_neg_mean_absolute_error,std_test_neg_mean_absolute_error,rank_test_neg_mean_absolute_error,split0_test_neg_mean_squared_error,split1_test_neg_mean_squared_error,split2_test_neg_mean_squared_error,split3_test_neg_mean_squared_error,split4_test_neg_mean_squared_error,mean_test_neg_mean_squared_error,std_test_neg_mean_squared_error,rank_test_neg_mean_squared_error,split0_test_neg_root_mean_squared_error,split1_test_neg_root_mean_squared_error,split2_test_neg_root_mean_squared_error,split3_test_neg_root_mean_squared_error,split4_test_neg_root_mean_squared_error,mean_test_neg_root_mean_squared_error,std_test_neg_root_mean_squared_error,rank_test_neg_root_mean_squared_error,split0_test_r2,split1_test_r2,split2_test_r2,split3_test_r2,split4_test_r2,mean_test_r2,std_test_r2,rank_test_r2
23,6.124535465,0.163319921,0.051514769,0.008161857,5,200,"{'max_depth': 5, 'n_estimators': 200}",-7.447331346,-3.260535933,-35.64153698,-3.851355721,-34.8268438,-17.00552076,14.95470699,1,-63.19605199,-12.97726985,-1838.897084,-23.99409366,-2231.946985,-834.2022969,988.7770563,1,-7.949594454,-3.602397792,-42.88236332,-4.898376635,-47.24348616,-21.31524367,19.49006629,1,0.915924299,0.89968447,0.864891821,0.963904074,0.747575083,0.87839595,0.072759437,1
43,6.346418762,0.183409884,0.043708181,0.005939598,7,200,"{'max_depth': 7, 'n_estimators': 200}",-8.456072276,-3.036211745,-35.63108922,-3.690542067,-34.60922643,-17.08462835,14.84785698,2,-86.61649459,-12.97592058,-1840.03252,-21.39022727,-2229.904974,-838.1840274,985.2473684,2,-9.3067983,-3.602210514,-42.89560025,-4.624957002,-47.22186966,-21.53028714,19.35538072,2,0.884765863,0.8996949,0.864808398,0.967821245,0.747806027,0.872979287,0.071530068,34
73,6.295277214,0.161798504,0.050004339,0.006252483,50,200,"{'max_depth': 50, 'n_estimators': 200}",-8.456072276,-3.036211745,-35.63108922,-3.690542067,-34.60922643,-17.08462835,14.84785698,2,-86.61649459,-12.97592058,-1840.03252,-21.39022727,-2229.904974,-838.1840274,985.2473684,2,-9.3067983,-3.602210514,-42.89560025,-4.624957002,-47.22186966,-21.53028714,19.35538072,2,0.884765863,0.8996949,0.864808398,0.967821245,0.747806027,0.872979287,0.071530068,34
53,6.319295025,0.208429894,0.051243591,0.006647647,8,200,"{'max_depth': 8, 'n_estimators': 200}",-8.456072276,-3.036211745,-35.63108922,-3.690542067,-34.60922643,-17.08462835,14.84785698,2,-86.61649459,-12.97592058,-1840.03252,-21.39022727,-2229.904974,-838.1840274,985.2473684,2,-9.3067983,-3.602210514,-42.89560025,-4.624957002,-47.22186966,-21.53028714,19.35538072,2,0.884765863,0.8996949,0.864808398,0.967821245,0.747806027,0.872979287,0.071530068,34
33,6.329648829,0.171325534,0.048136711,0.00253809,6,200,"{'max_depth': 6, 'n_estimators': 200}",-8.456072276,-3.036211745,-35.63108922,-3.690542067,-34.60922643,-17.08462835,14.84785698,2,-86.61649459,-12.97592058,-1840.03252,-21.39022727,-2229.904974,-838.1840274,985.2473684,2,-9.3067983,-3.602210514,-42.89560025,-4.624957002,-47.22186966,-21.53028714,19.35538072,2,0.884765863,0.8996949,0.864808398,0.967821245,0.747806027,0.872979287,0.071530068,34
63,6.294045401,0.188542579,0.049128294,0.004509096,20,200,"{'max_depth': 20, 'n_estimators': 200}",-8.456072276,-3.036211745,-35.63108922,-3.690542067,-34.60922643,-17.08462835,14.84785698,2,-86.61649459,-12.97592058,-1840.03252,-21.39022727,-2229.904974,-838.1840274,985.2473684,2,-9.3067983,-3.602210514,-42.89560025,-4.624957002,-47.22186966,-21.53028714,19.35538072,2,0.884765863,0.8996949,0.864808398,0.967821245,0.747806027,0.872979287,0.071530068,34
83,6.275149488,0.205595307,0.048468733,0.003194499,100,200,"{'max_depth': 100, 'n_estimators': 200}",-8.456072276,-3.036211745,-35.63108922,-3.690542067,-34.60922643,-17.08462835,14.84785698,2,-86.61649459,-12.97592058,-1840.03252,-21.39022727,-2229.904974,-838.1840274,985.2473684,2,-9.3067983,-3.602210514,-42.89560025,-4.624957002,-47.22186966,-21.53028714,19.35538072,2,0.884765863,0.8996949,0.864808398,0.967821245,0.747806027,0.872979287,0.071530068,34
13,5.519496202,0.085925597,0.042180443,0.006258123,4,200,"{'max_depth': 4, 'n_estimators': 200}",-8.906509513,-4.113368223,-36.75021734,-3.703601434,-35.17051456,-17.72884221,15.00631008,63,-95.37199904,-19.75109222,-1832.44689,-17.84316961,-2238.964631,-840.8755564,984.4054062,8,-9.765858848,-4.444220091,-42.80708925,-4.224117613,-47.31769892,-21.71179694,19.22169165,8,0.873117585,0.847322179,0.865365733,0.973157322,0.746781413,0.861148846,0.072080535,51
76,15.71751099,0.482689412,0.117616272,0.007783819,50,500,"{'max_depth': 50, 'n_estimators': 500}",-7.957158667,-2.942544551,-36.51625522,-3.944359345,-34.97169848,-17.26640325,15.18779837,20,-75.59689975,-11.95162167,-1940.987541,-24.57129972,-2267.655196,-864.1525116,1018.072334,16,-8.694647764,-3.457111752,-44.05664014,-4.956944596,-47.61990336,-21.75704952,19.76823987,9,0.899426275,0.907612828,0.857390991,0.963035744,0.743536617,0.874200491,0.073484738,16
36,15.78272986,0.537693146,0.112296677,0.006437662,6,500,"{'max_depth': 6, 'n_estimators': 500}",-7.957158667,-2.942544551,-36.51625522,-3.944359345,-34.97169848,-17.26640325,15.18779837,20,-75.59689975,-11.95162167,-1940.987541,-24.57129972,-2267.655196,-864.1525116,1018.072334,16,-8.694647764,-3.457111752,-44.05664014,-4.956944596,-47.61990336,-21.75704952,19.76823987,9,0.899426275,0.907612828,0.857390991,0.963035744,0.743536617,0.874200491,0.073484738,16
