,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_n_estimators,params,split0_test_neg_mean_absolute_error,split1_test_neg_mean_absolute_error,split2_test_neg_mean_absolute_error,split3_test_neg_mean_absolute_error,split4_test_neg_mean_absolute_error,mean_test_neg_mean_absolute_error,std_test_neg_mean_absolute_error,rank_test_neg_mean_absolute_error,split0_test_neg_mean_squared_error,split1_test_neg_mean_squared_error,split2_test_neg_mean_squared_error,split3_test_neg_mean_squared_error,split4_test_neg_mean_squared_error,mean_test_neg_mean_squared_error,std_test_neg_mean_squared_error,rank_test_neg_mean_squared_error,split0_test_neg_root_mean_squared_error,split1_test_neg_root_mean_squared_error,split2_test_neg_root_mean_squared_error,split3_test_neg_root_mean_squared_error,split4_test_neg_root_mean_squared_error,mean_test_neg_root_mean_squared_error,std_test_neg_root_mean_squared_error,rank_test_neg_root_mean_squared_error,split0_test_r2,split1_test_r2,split2_test_r2,split3_test_r2,split4_test_r2,mean_test_r2,std_test_r2,rank_test_r2
40,0.353041744,0.014978461,0.00771389,0.007345879,7,10,"{'max_depth': 7, 'n_estimators': 10}",-0.703985206,-0.60340192,-5.275282891,-0.543680858,-0.947384077,-1.61474699,1.835450074,1,-0.618553803,-0.971056249,-41.17399974,-0.558481778,-1.806065403,-9.025631395,16.08034501,7,-0.786481915,-0.985421864,-6.416696949,-0.747316384,-1.343899328,-2.055963288,2.190581282,1,0.043372381,0.313563904,-6.844558269,-2.050790362,-0.601623829,-1.828007235,2.638477647,1
80,0.370338583,0.021506809,0.003127575,0.00625515,100,10,"{'max_depth': 100, 'n_estimators': 10}",-0.703985206,-0.60340192,-5.275282891,-0.550145003,-1.150727499,-1.656708504,1.821632048,2,-0.618553803,-0.971056249,-41.17399974,-0.559289187,-2.198993989,-9.104378594,16.04570749,9,-0.786481915,-0.985421864,-6.416696949,-0.747856394,-1.482900533,-2.083871531,2.182168196,2,0.043372381,0.313563904,-6.844558269,-2.055200951,-0.950073994,-1.898579386,2.60966107,2
70,0.365976954,0.023178519,0.006307268,0.007725332,50,10,"{'max_depth': 50, 'n_estimators': 10}",-0.703985206,-0.60340192,-5.275282891,-0.550145003,-1.150727499,-1.656708504,1.821632048,2,-0.618553803,-0.971056249,-41.17399974,-0.559289187,-2.198993989,-9.104378594,16.04570749,9,-0.786481915,-0.985421864,-6.416696949,-0.747856394,-1.482900533,-2.083871531,2.182168196,2,0.043372381,0.313563904,-6.844558269,-2.055200951,-0.950073994,-1.898579386,2.60966107,2
60,0.37613554,0.025144022,0.006253052,0.007658395,20,10,"{'max_depth': 20, 'n_estimators': 10}",-0.703985206,-0.60340192,-5.275282891,-0.550145003,-1.150727499,-1.656708504,1.821632048,2,-0.618553803,-0.971056249,-41.17399974,-0.559289187,-2.198993989,-9.104378594,16.04570749,9,-0.786481915,-0.985421864,-6.416696949,-0.747856394,-1.482900533,-2.083871531,2.182168196,2,0.043372381,0.313563904,-6.844558269,-2.055200951,-0.950073994,-1.898579386,2.60966107,2
50,0.356750011,0.021878036,0.008315659,0.008156492,8,10,"{'max_depth': 8, 'n_estimators': 10}",-0.703985206,-0.622243704,-5.275282891,-0.554865048,-1.264290909,-1.684133552,1.81307306,5,-0.618553803,-1.045873216,-41.17399974,-0.560051858,-2.380760659,-9.155847855,16.02253815,14,-0.786481915,-1.02267943,-6.416696949,-0.748366126,-1.542971373,-2.103439159,2.175176214,5,0.043372381,0.260676065,-6.844558269,-2.059367158,-1.111265182,-1.942228432,2.589689481,5
10,0.275872374,0.009851065,0.006251621,0.007656642,4,10,"{'max_depth': 4, 'n_estimators': 10}",-0.71239601,-0.88439911,-5.275282891,-0.53742299,-1.015670852,-1.685034371,1.802331048,6,-0.626272219,-1.641976217,-41.17399974,-0.524931063,-2.277566249,-9.248949098,15.97581999,20,-0.791373628,-1.281396198,-6.416696949,-0.724521265,-1.509160776,-2.144629763,2.156272774,6,0.031435425,-0.160706957,-6.844558269,-1.867514557,-1.019752092,-1.97221929,2.528005266,6
20,0.321771193,0.008443183,0.007248116,0.007076575,5,10,"{'max_depth': 5, 'n_estimators': 10}",-0.703985206,-0.939426456,-5.275282891,-0.579876841,-1.067027282,-1.713119735,1.789281143,7,-0.618553803,-1.785358695,-41.17399974,-0.592020875,-2.023717314,-9.238730086,15.97838303,16,-0.786481915,-1.336173153,-6.416696949,-0.769428928,-1.422574186,-2.146271026,2.152266426,7,0.043372381,-0.262063504,-6.844558269,-2.234002701,-0.79463815,-2.018378048,2.536592378,7
41,1.724413157,0.063178768,0.013025236,0.005195832,7,50,"{'max_depth': 7, 'n_estimators': 50}",-0.824918487,-1.307153924,-5.067287318,-0.512415901,-1.131450299,-1.768645186,1.671452274,8,-0.911679893,-2.761155181,-38.0538991,-0.487208856,-2.116763191,-8.866141244,14.61663526,2,-0.954819299,-1.661672405,-6.168784248,-0.698003479,-1.454910029,-2.187637892,2.01999547,8,-0.409963306,-0.951850456,-6.250110039,-1.661451348,-0.877151493,-2.030105328,2.147609918,8
31,1.644416475,0.045525111,0.015620041,1.00E-05,6,50,"{'max_depth': 6, 'n_estimators': 50}",-0.824918487,-1.470051813,-5.027565217,-0.514782835,-1.096999096,-1.786863489,1.650573088,9,-0.911679893,-3.248752746,-37.46752001,-0.487422728,-2.198976392,-8.862870354,14.33542001,1,-0.954819299,-1.802429678,-6.121071803,-0.698156664,-1.482894599,-2.211874409,1.992606824,9,-0.409963306,-1.296531383,-6.138391844,-1.662619656,-0.950058388,-2.091512915,2.065124774,9
61,1.829249573,0.11283941,0.015626621,4.93E-06,20,50,"{'max_depth': 20, 'n_estimators': 50}",-0.837965421,-1.364628797,-5.076552592,-0.523225251,-1.296351892,-1.819744791,1.657270129,16,-0.939254967,-2.900711837,-38.18491525,-0.498812093,-2.395504337,-8.983839698,14.62753881,5,-0.969151674,-1.703147626,-6.179394408,-0.706266304,-1.547741689,-2.22114034,2.012554418,10,-0.45260968,-1.050502544,-6.275071515,-1.724835767,-1.124339917,-2.125471885,2.11357416,11
