,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_max_depth,param_n_estimators,params,split0_test_neg_mean_absolute_error,split1_test_neg_mean_absolute_error,split2_test_neg_mean_absolute_error,split3_test_neg_mean_absolute_error,split4_test_neg_mean_absolute_error,mean_test_neg_mean_absolute_error,std_test_neg_mean_absolute_error,rank_test_neg_mean_absolute_error,split0_test_neg_mean_squared_error,split1_test_neg_mean_squared_error,split2_test_neg_mean_squared_error,split3_test_neg_mean_squared_error,split4_test_neg_mean_squared_error,mean_test_neg_mean_squared_error,std_test_neg_mean_squared_error,rank_test_neg_mean_squared_error,split0_test_neg_root_mean_squared_error,split1_test_neg_root_mean_squared_error,split2_test_neg_root_mean_squared_error,split3_test_neg_root_mean_squared_error,split4_test_neg_root_mean_squared_error,mean_test_neg_root_mean_squared_error,std_test_neg_root_mean_squared_error,rank_test_neg_root_mean_squared_error,split0_test_r2,split1_test_r2,split2_test_r2,split3_test_r2,split4_test_r2,mean_test_r2,std_test_r2,rank_test_r2
409,0.272113085,0.091299546,0.006249142,0.007653604,0.04,1,100,"{'learning_rate': 0.04, 'max_depth': 1, 'n_estimators': 100}",-14.68602249,-5.788560923,-72.58761561,-9.497168101,-32.40205991,-26.99228541,24.55736535,1,-411.7540772,-36.45948113,-8872.614909,-163.0205919,-1572.98032,-2211.365876,3374.738913,1,-20.29172435,-6.03816869,-94.19455881,-12.76795175,-39.66081592,-34.5906439,31.85676113,1,0.452204501,0.718164745,0.348107706,0.754757179,0.822101766,0.619067179,0.18477951,2
419,0.302512598,0.003582511,0.012499142,0.006249571,0.04,2,100,"{'learning_rate': 0.04, 'max_depth': 2, 'n_estimators': 100}",-16.36001303,-5.541275512,-68.69811003,-8.720454931,-36.65529792,-27.19503029,23.40766935,2,-359.546091,-34.4891163,-8228.834588,-134.3154008,-2494.215849,-2250.280209,3122.964291,2,-18.96170064,-5.872743507,-90.71292404,-11.58945214,-49.942125,-35.41578906,31.55950085,2,0.521661736,0.733395852,0.39540779,0.797940325,0.717913448,0.63326383,0.150559524,1
418,0.302802753,0.03854244,0.010573053,0.00646898,0.04,2,90,"{'learning_rate': 0.04, 'max_depth': 2, 'n_estimators': 90}",-16.94623459,-8.227202242,-71.15446607,-8.982449511,-38.05967374,-28.67400523,23.81617119,3,-374.46618,-71.49610749,-8620.138196,-122.5602814,-2460.387322,-2329.809617,3267.432682,3,-19.35112865,-8.45553709,-92.84469934,-11.07069471,-49.6022915,-36.26487026,31.85386637,3,0.501812127,0.447328292,0.366657775,0.815624341,0.721739329,0.570632373,0.169941246,3
408,0.236258364,0.063754594,0.009374285,0.012499225,0.04,1,90,"{'learning_rate': 0.04, 'max_depth': 1, 'n_estimators': 90}",-16.68734637,-8.57676893,-75.39272289,-9.480893632,-36.19832639,-29.26721164,25.11353798,4,-481.3362661,-76.51300886,-9341.337369,-144.904116,-1909.343808,-2390.686914,3538.016226,4,-21.93937707,-8.747171478,-96.65059425,-12.03761255,-43.69603881,-36.61415883,32.40509661,4,0.359632716,0.408547167,0.313669543,0.78201101,0.784060305,0.529584148,0.209107624,4
417,0.349921274,0.093936692,0.003124809,0.006249619,0.04,2,80,"{'learning_rate': 0.04, 'max_depth': 2, 'n_estimators': 80}",-18.19871215,-12.25174905,-75.00386551,-9.378756745,-40.30568321,-31.02775333,24.51848329,6,-416.5633026,-153.7822662,-9257.728929,-124.6645013,-2485.186654,-2487.585131,3497.256466,10,-20.40988247,-12.4008978,-96.21709271,-11.16532585,-49.85164645,-38.00896906,32.29401496,5,0.445806332,-0.188751538,0.319812455,0.812458821,0.718934617,0.421652138,0.35345555,5
407,0.159405804,0.006333542,0.009576654,0.007411813,0.04,1,80,"{'learning_rate': 0.04, 'max_depth': 1, 'n_estimators': 80}",-17.63399688,-12.44045904,-80.08007693,-9.283677426,-41.85710819,-32.25906369,26.50852621,13,-492.0303543,-158.0820374,-10117.67914,-132.2216581,-2443.210462,-2668.644731,3821.333575,23,-22.18175724,-12.57306794,-100.5866748,-11.49876768,-49.42884241,-39.25382201,33.58246847,6,0.345405356,-0.221989178,0.256629851,0.801090083,0.723681968,0.380963616,0.367215867,6
339,0.306042957,0.005902703,0.005844927,0.007187018,0.03,2,100,"{'learning_rate': 0.03, 'max_depth': 2, 'n_estimators': 100}",-19.36956181,-15.18722766,-77.77582769,-9.817997257,-41.65409413,-32.76094171,24.9798771,15,-461.756179,-234.3770541,-9739.332263,-138.9619452,-2504.605988,-2615.806686,3666.13919,17,-21.48851272,-15.30937798,-98.68805532,-11.78821213,-50.04603869,-39.46403937,32.53300298,7,0.385681963,-0.811756911,0.284427903,0.790950217,0.716738362,0.273208307,0.575274077,8
439,0.600591755,0.091560458,0.009374952,0.007654617,0.04,4,100,"{'learning_rate': 0.04, 'max_depth': 4, 'n_estimators': 100}",-34.4297442,-8.862158923,-64.35786231,-7.993250117,-41.33831365,-31.39626584,21.21320469,7,-1605.003595,-89.30632198,-7110.91542,-132.9141792,-3298.796217,-2447.387147,2611.525749,9,-40.06249611,-9.450202219,-84.32624396,-11.52884119,-57.43514793,-40.56058628,28.32359418,8,-1.135288498,0.309653641,0.477543992,0.800048277,0.626918396,0.215775162,0.694711873,11
429,0.45946312,0.060616381,0.006249428,0.007653955,0.04,3,100,"{'learning_rate': 0.04, 'max_depth': 3, 'n_estimators': 100}",-35.76927487,-5.093805221,-66.87860337,-8.231925155,-37.95828625,-30.78637897,22.57310745,5,-1595.459374,-29.83263776,-8122.990907,-134.6671212,-3141.149248,-2604.819858,2982.914121,16,-39.94320184,-5.461926195,-90.12763675,-11.60461637,-56.04595657,-40.63666755,30.87848941,9,-1.122590915,0.769390874,0.403184379,0.797411209,0.644747683,0.298428646,0.724016056,7
459,0.749235964,0.099139109,0.013171911,0.003018655,0.04,6,100,"{'learning_rate': 0.04, 'max_depth': 6, 'n_estimators': 100}",-34.848979,-10.87941461,-63.68284611,-8.579331921,-42.38178852,-32.07447203,20.56346295,8,-1664.459433,-147.58911,-6924.133118,-134.0004177,-3344.460815,-2442.928579,2533.7601,5,-40.79778711,-12.14862585,-83.21137613,-11.57585495,-57.83131345,-41.1129915,27.43447665,10,-1.214388239,-0.140877852,0.491267335,0.798414176,0.621753899,0.111233864,0.734589301,13
