,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_max_depth,param_n_estimators,params,split0_test_neg_mean_absolute_error,split1_test_neg_mean_absolute_error,split2_test_neg_mean_absolute_error,split3_test_neg_mean_absolute_error,split4_test_neg_mean_absolute_error,mean_test_neg_mean_absolute_error,std_test_neg_mean_absolute_error,rank_test_neg_mean_absolute_error,split0_test_neg_mean_squared_error,split1_test_neg_mean_squared_error,split2_test_neg_mean_squared_error,split3_test_neg_mean_squared_error,split4_test_neg_mean_squared_error,mean_test_neg_mean_squared_error,std_test_neg_mean_squared_error,rank_test_neg_mean_squared_error,split0_test_neg_root_mean_squared_error,split1_test_neg_root_mean_squared_error,split2_test_neg_root_mean_squared_error,split3_test_neg_root_mean_squared_error,split4_test_neg_root_mean_squared_error,mean_test_neg_root_mean_squared_error,std_test_neg_root_mean_squared_error,rank_test_neg_root_mean_squared_error,split0_test_r2,split1_test_r2,split2_test_r2,split3_test_r2,split4_test_r2,mean_test_r2,std_test_r2,rank_test_r2
409,0.21513547897338867,0.03987983958814926,0.0043239593505859375,0.006108328114096395,0.04,1,100,"{'learning_rate': 0.04, 'max_depth': 1, 'n_estimators': 100}",-1.6905318387062254,-2.5201100650294093,-2.5294144164569494,-1.7890516039796094,-0.9924823139918719,-1.9043180476328132,0.5762604585273335,2,-3.520419395363613,-7.097575349158873,-9.070351076695573,-4.629311785812457,-1.9787134081599733,-5.259274203038098,2.533227422042349,1,-1.8762780698402923,-2.6641275024215476,-3.0117023552628126,-2.151583553063291,-1.4066674831529922,-2.2220717927481872,0.5671606041598405,1,-4.444523023478959,-4.017249945600562,-0.7281026372456989,-24.288308992810904,-0.7547285607605629,-6.846582631979338,8.860421160758754,16
419,0.2915494918823242,0.007754255797241183,0.012498617172241211,0.006249308612271471,0.04,2,100,"{'learning_rate': 0.04, 'max_depth': 2, 'n_estimators': 100}",-1.131122843173182,-1.4036997710949015,-4.342205941347266,-1.3115208270031475,-1.2895683703301386,-1.8956235505897272,1.2264334147811278,1,-1.5741155732366388,-2.47512235633838,-27.17183067495665,-2.8340284936492455,-3.066545539477355,-7.424328527531652,9.886805362402658,7,-1.2546376262637107,-1.5732521591716886,-5.212660613828283,-1.6834573037797085,-1.7511554869506463,-2.2950326379988075,1.468725201680658,2,-1.434456670529296,-0.7496549028063724,-4.176835146858796,-14.481305117852342,-1.7194211242534765,-4.512334592460056,5.117116176212336,3
408,0.17861652374267578,0.008615176589260544,0.0031243324279785155,0.006248664855957031,0.04,1,90,"{'learning_rate': 0.04, 'max_depth': 1, 'n_estimators': 90}",-1.9483338298722221,-2.8495844602299436,-2.4496836646073015,-1.7929689835635103,-1.0477745086588068,-2.0176690893863567,0.6123255328569137,6,-4.450747646626927,-8.821693050908952,-8.503936557384758,-4.5009947104817885,-2.1074300123220464,-5.676960395544894,2.5887903680340694,2,-2.109679512776035,-2.9701335072533275,-2.9161509832971197,-2.1215547861136628,-1.451699008858946,-2.3138435596598184,0.5684086355481206,3,-5.883327044973353,-5.2360224164472,-0.6201881346736695,-23.587357749915466,-0.868874803786901,-7.239154029959318,8.45583508455332,18
418,0.2682063579559326,0.0025786146008348163,0.007448244094848633,0.007024213002484786,0.04,2,90,"{'learning_rate': 0.04, 'max_depth': 2, 'n_estimators': 90}",-1.2372796801777632,-1.5807389490740373,-4.324964917278236,-1.3095884848335653,-1.2766275882537859,-1.9458399239234776,1.1956799838430638,3,-1.8390211413873856,-3.002784979650787,-26.785808093648598,-2.7126960105646725,-3.064701958989713,-7.4810024368482315,9.662322309515243,8,-1.3561051365537207,-1.7328545754479188,-5.175500757767175,-1.6470264146529867,-1.750629018093129,-2.332423180502986,1.4285673046449605,4,-1.8441477620918532,-1.1226576731712354,-4.103289301151812,-13.818508256230027,-1.7177862319429553,-4.521277844917576,4.757949506246218,4
339,0.3057056427001953,0.0206392780494228,0.010573530197143554,0.006469280926169516,0.03,2,100,"{'learning_rate': 0.03, 'max_depth': 2, 'n_estimators': 100}",-1.276420958178115,-1.9050522103527723,-4.305303526295167,-1.3111354657091847,-1.261887638425908,-2.0119599597922293,1.1718050232519681,4,-1.9644391666766046,-4.116583995487087,-26.01049125249641,-2.4962165182017415,-3.1250916773034794,-7.542564522033065,9.261715146556831,9,-1.401584519990359,-2.0289366662089496,-5.100048161782045,-1.5799419350728499,-1.767792883033383,-2.375660833217517,1.3779695669895318,5,-2.038113664889037,-1.909998106587964,-3.955574282563555,-12.63595660562439,-1.7713400023194303,-4.4621965323968755,4.164075485805256,1
417,0.2409430980682373,0.007596805170811927,0.006249094009399414,0.0076535458421980165,0.04,2,80,"{'learning_rate': 0.04, 'max_depth': 2, 'n_estimators': 80}",-1.3835672953437106,-1.854211677081702,-4.2901979604125495,-1.3045293499878208,-1.2363448757514113,-2.013770231715439,1.1586328745343804,5,-2.2257602123772395,-3.9382969802301595,-26.045493943981306,-2.5299671495670966,-3.0136816372523256,-7.550639984681626,9.265572149745468,10,-1.4918981910228457,-1.9845142932793807,-5.1034786120822835,-1.5905870455800577,-1.73599586325899,-2.381294801044712,1.371158289621973,6,-2.442261094513612,-1.7839676703341083,-3.962243070017787,-12.82032448451414,-1.672541268542703,-4.53626751758447,4.221754357520756,5
407,0.1598879337310791,0.007065999465016069,0.003124570846557617,0.006249141693115233,0.04,1,80,"{'learning_rate': 0.04, 'max_depth': 1, 'n_estimators': 80}",-2.1514766826446556,-3.14846674305352,-2.3689202041496737,-1.8070972430693912,-1.0825576744542695,-2.1117037094743023,0.6774284409585145,9,-5.275432665871393,-10.604983613515685,-7.937686326286255,-4.3855156117987235,-2.1558040472531514,-6.071884452945041,2.927253514525033,3,-2.2968310050744685,-3.2565293816447727,-2.817389984770702,-2.0941622696913256,-1.4682656596315093,-2.386635660162556,0.6130698806706169,7,-7.158747973601352,-6.496623965297111,-0.5123049326423321,-22.956535877286697,-0.9117730326778513,-7.607197156301067,8.151108863389304,19
338,0.2732884407043457,0.007216748455540749,0.006249237060546875,0.007653721041500415,0.03,2,90,"{'learning_rate': 0.03, 'max_depth': 2, 'n_estimators': 90}",-1.4618158348316128,-2.0943951590444865,-4.287174739621172,-1.2995001958139465,-1.2457918471374598,-2.0777355552897356,1.1453415876478257,7,-2.4816648238613794,-4.871779294541904,-25.48563450458201,-2.3074344722333735,-3.0106081956199846,-7.631424258167731,8.973352711270074,11,-1.575330068227411,-2.207210749915355,-5.048329872797736,-1.5190241842160952,-1.7351104275002167,-2.417001060531363,1.3377332064197245,8,-2.8380317094791994,-2.4438428897292397,-3.855577455254693,-11.604706404379785,-1.6698157319440936,-4.482394838157402,3.630163837954381,2
416,0.20959463119506835,0.009995683622376943,0.007249069213867187,0.007077273945746549,0.04,2,70,"{'learning_rate': 0.04, 'max_depth': 2, 'n_estimators': 70}",-1.5908094679467901,-2.1059566177247544,-4.278623006836834,-1.2951379930732079,-1.2149755550074348,-2.097100528117804,1.1346133939707181,8,-2.851131638185113,-4.932748809833989,-25.515057498465698,-2.3202566414235557,-2.899975804420759,-7.703834078465823,8.950165077749446,12,-1.6885294306541159,-2.2209792457008666,-5.051243163664337,-1.5232388655176692,-1.7029315325111456,-2.437384447609627,1.3277767632461932,9,-3.409432543040742,-2.4869420161539786,-3.861183186818568,-11.674749424042702,-1.5717066193348854,-4.600802757878176,3.6235604641395747,6
329,0.1946312427520752,0.005985293461971756,0.003124523162841797,0.006249046325683594,0.03,1,100,"{'learning_rate': 0.03, 'max_depth': 1, 'n_estimators': 100}",-2.213611737008421,-3.3745459694821975,-2.364789987209757,-1.8206616270193474,-1.1025559032263559,-2.175233044789216,0.7419047634437612,11,-5.54666097706101,-12.091225732205972,-7.8824956659625105,-4.388178395996447,-2.194707188025818,-6.420653591850352,3.377745170053154,4,-2.3551350231061083,-3.4772439851419645,-2.807578256427149,-2.0947979367940115,-1.4814544164522303,-2.4432419235842926,0.6717309689827292,10,-7.578217536471053,-7.547243060173196,-0.501789890297186,-22.97108173478966,-0.9462724462541543,-7.9089209335970505,8.1296116496779,20
