,Ciś. pow. za turb.[Pa],ECT - wyjście z sil.[°C],MAF[kg/h],Moc[kW],Moment obrotowy[Nm],Obroty[obr/min],Temp. oleju w misce[°C],Temp. pal. na wyjściu sil.[°C],Temp. powietrza za turb.[°C],Zużycie paliwa średnie[g/s],Rotation,Temp. spalin 1...4/6 - srednia[°C],CO,HC,LAMBDA,CO2,O2,NO,PM,Сalorific value MJ/kg,Cetane number,Density at 15 °C,Viscosity at 40 °C 
116042.0,57320.0,66.1999969482422,509.899993896484,72.56816976743804,288.18795126382054,2404.0,83.0,51.0,74.0,5.20310020446777,2400.0,475.0,0.04,10.0,1.96,7.6,10.53,168.0,5.11,38,56,882.9,4.454
116062.0,57320.0,66.1999969482422,509.899993896484,72.56816976743804,288.28722978706463,2404.0,83.0,51.0,74.0,5.20310020446777,2400.0,475.0,0.04,10.0,1.96,7.6,10.53,168.0,5.11,38,56,882.9,4.454
116075.0,57320.0,66.1999969482422,509.899993896484,72.56816976743804,288.28722978706463,2404.0,83.0,51.0,74.0,5.20310020446777,2400.0,475.5,0.04,10.0,1.96,7.6,10.53,168.0,5.11,38,56,882.9,4.454
116082.0,57320.0,66.1999969482422,509.899993896484,72.56816976743804,288.28722978706463,2404.0,83.0,51.0,74.0,5.20310020446777,2400.0,475.5,0.04,10.0,1.96,7.6,10.53,168.0,5.11,38,56,882.9,4.454
116102.0,57320.0,66.1999969482422,509.899993896484,72.56816976743804,288.18795126382054,2404.0,83.0,51.0,74.0,5.20310020446777,2400.0,475.5,0.04,10.0,1.96,7.6,10.53,168.0,5.11,38,56,882.9,4.454
116122.0,57320.0,66.1999969482422,509.899993896484,72.56816976743804,288.18795126382054,2404.0,83.0,51.0,74.0,5.20310020446777,2400.0,475.5,0.04,10.0,1.96,7.6,10.53,168.0,5.11,38,56,882.9,4.454
116131.0,57320.0,66.1999969482422,509.899993896484,72.56816976743804,288.18795126382054,2404.0,83.0,51.0,74.0,5.20709991455078,2400.0,475.5,0.04,10.0,1.96,7.6,10.53,168.0,5.11,38,56,882.9,4.454
116132.0,57320.0,66.1999969482422,509.899993896484,72.56816976743804,288.18795126382054,2404.0,83.0,51.0,74.0,5.20709991455078,2400.0,475.5,0.04,10.0,1.96,7.6,10.53,168.0,5.11,38,56,882.9,4.454
116133.0,57320.0,66.1999969482422,509.899993896484,72.56816976743804,288.18795126382054,2404.0,83.0,51.0,74.0,5.20709991455078,2400.0,475.5,0.04,10.0,1.96,7.6,10.53,168.0,5.11,38,56,882.9,4.454
116142.0,57320.0,66.1999969482422,509.899993896484,72.56816976743804,288.18795126382054,2404.0,83.0,51.0,74.0,5.20709991455078,2400.0,475.5,0.04,10.0,1.96,7.6,10.53,168.0,5.11,38,56,882.9,4.454
116161.0,57320.0,66.1999969482422,509.899993896484,72.56816976743804,288.18795126382054,2404.0,83.0,51.0,74.0,5.20709991455078,2400.0,475.5,0.04,10.0,1.96,7.6,10.53,168.0,5.11,38,56,882.9,4.454
116162.0,57320.0,66.1999969482422,509.899993896484,72.56816976743804,288.18795126382054,2404.0,83.0,51.0,74.0,5.20709991455078,2400.0,475.5,0.04,10.0,1.96,7.6,10.53,168.0,5.11,38,56,882.9,4.454
116175.0,56880.0,66.1999969482422,504.600006103516,72.56816976743804,288.18795126382054,2404.0,83.0,51.0,74.0,5.20709991455078,2400.0,475.5,0.04,10.0,1.96,7.6,10.53,168.0,5.11,38,56,882.9,4.454
116182.0,56880.0,66.1999969482422,504.600006103516,72.56816976743804,288.18795126382054,2404.0,83.0,51.0,74.0,5.20709991455078,2400.0,475.5,0.04,10.0,1.96,7.6,10.53,168.0,5.11,38,56,882.9,4.454
116183.0,56880.0,66.1999969482422,504.600006103516,72.56816976743804,288.18795126382054,2404.0,83.0,51.0,74.0,5.20709991455078,2400.0,475.5,0.04,10.0,1.96,7.6,10.53,168.0,5.11,38,56,882.9,4.454
116202.0,56880.0,66.1999969482422,504.600006103516,72.56816976743804,288.18795126382054,2404.0,83.0,51.0,74.0,5.20709991455078,2400.0,475.5,0.04,10.0,1.96,7.6,10.53,168.0,5.11,38,56,882.9,4.454
116222.0,56880.0,66.1999969482422,504.600006103516,72.56816976743804,288.18795126382054,2404.0,83.0,51.0,74.0,5.20709991455078,2400.0,475.5,0.04,10.0,1.96,7.6,10.53,168.0,5.11,38,56,882.9,4.454
116225.0,56880.0,66.1999969482422,504.600006103516,72.56816976743804,288.18795126382054,2404.0,83.0,51.0,74.0,5.20709991455078,2400.0,475.5,0.04,10.0,1.96,7.6,10.53,168.0,5.11,38,56,882.9,4.454
116242.0,56880.0,66.1999969482422,504.600006103516,72.56816976743804,288.28722978706463,2404.0,83.0,51.0,74.0,5.20709991455078,2400.0,475.5,0.04,10.0,1.96,7.6,10.53,168.0,5.11,38,56,882.9,4.454
116262.0,56880.0,66.1999969482422,504.600006103516,72.56816976743804,288.28722978706463,2404.0,83.0,51.0,74.0,5.20709991455078,2400.0,475.5,0.04,10.0,1.96,7.6,10.53,168.0,5.11,38,56,882.9,4.454
116275.0,56880.0,66.1999969482422,504.600006103516,72.56816976743804,288.28722978706463,2404.0,83.0,51.0,74.0,5.20709991455078,2400.0,475.5,0.04,10.0,1.96,7.6,10.53,168.0,5.11,38,56,882.9,4.454
116276.0,56880.0,66.1999969482422,504.600006103516,72.56816976743804,288.28722978706463,2404.0,83.0,51.0,74.0,5.20709991455078,2400.0,475.5,0.04,10.0,1.96,7.6,10.53,168.0,5.11,38,56,882.9,4.454
116282.0,56880.0,66.1999969482422,504.600006103516,72.56816976743804,288.28722978706463,2404.0,83.0,51.0,74.0,5.20709991455078,2400.0,475.5,0.04,10.0,1.96,7.6,10.53,168.0,5.11,38,56,882.9,4.454
116302.0,56880.0,66.1999969482422,504.600006103516,72.56816976743804,288.28722978706463,2404.0,83.0,51.0,74.0,5.20709991455078,2400.0,475.5,0.04,10.0,1.96,7.6,10.53,168.0,5.11,38,56,882.9,4.454
116322.0,56880.0,66.1999969482422,504.600006103516,72.56816976743804,288.28722978706463,2404.0,83.0,51.0,74.0,5.20709991455078,2400.0,475.5,0.04,10.0,1.96,7.6,10.53,168.0,5.11,38,56,882.9,4.454
116330.0,56880.0,66.1999969482422,504.600006103516,72.56816976743804,288.28722978706463,2404.0,83.0,51.0,74.0,5.2153000831604,2400.0,475.5,0.04,10.0,1.96,7.6,10.53,168.0,5.11,38,56,882.9,4.454
116333.0,56880.0,66.1999969482422,504.600006103516,72.56816976743804,288.28722978706463,2404.0,83.0,51.0,74.0,5.2153000831604,2400.0,475.5,0.04,10.0,1.96,7.6,10.53,168.0,5.11,38,56,882.9,4.454
116334.0,56880.0,66.1999969482422,504.600006103516,72.56816976743804,288.28722978706463,2404.0,83.0,51.0,74.0,5.2153000831604,2400.0,475.5,0.04,10.0,1.96,7.6,10.53,168.0,5.11,38,56,882.9,4.454
116342.0,56880.0,66.1999969482422,504.600006103516,72.56816976743804,288.28722978706463,2404.0,83.0,51.0,74.0,5.2153000831604,2400.0,475.5,0.04,10.0,1.96,7.6,10.53,168.0,5.11,38,56,882.9,4.454
116361.0,56880.0,66.1999969482422,504.600006103516,72.56816976743804,288.28722978706463,2404.0,83.0,51.0,74.0,5.2153000831604,2400.0,475.5,0.04,10.0,1.96,7.6,10.53,168.0,5.11,38,56,882.9,4.454
116362.0,56880.0,66.1999969482422,504.600006103516,72.56816976743804,288.28722978706463,2404.0,83.0,51.0,74.0,5.2153000831604,2400.0,475.5,0.04,10.0,1.96,7.6,10.53,168.0,5.11,38,56,882.9,4.454
116375.0,57274.0,66.1999969482422,504.600006103516,72.56816976743804,288.28722978706463,2404.0,83.0,51.0,74.0,5.2153000831604,2400.0,475.5,0.04,10.0,1.96,7.6,10.53,168.0,5.11,38,56,882.9,4.454
116376.0,57274.0,66.1999969482422,509.600006103516,72.56816976743804,288.28722978706463,2404.0,83.0,51.0,74.0,5.2153000831604,2400.0,475.5,0.04,10.0,1.96,7.6,10.53,168.0,5.11,38,56,882.9,4.454
116382.0,57274.0,66.1999969482422,509.600006103516,72.56816976743804,288.28722978706463,2404.0,83.0,51.0,74.0,5.2153000831604,2400.0,475.5,0.04,10.0,1.96,7.6,10.53,168.0,5.11,38,56,882.9,4.454
